,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
10,False,/5CdmpTPn5RAHjdByNnJ4iw3cFfz.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,993885,tt22191360,['KR'],ko,시맨틱 에러: 더 무비,Choo Sang-woo is the epitome of an inflexible and strict rule-abiding person. Jang Jae-young is like a semantic error in the perfect world of Choo Sang-woo. Will Sang-woo be able to work with Jae-young as an artist and engineer?,3.384,/Ae161is3LOyvt5tDpbqOkF8AnFM.jpg,"[{'id': 140163, 'logo_path': '/q67Iyada586WNxPdADWT47TCrWO.png', 'name': 'watcha', 'origin_country': 'KR'}, {'id': 110706, 'logo_path': '/vFns6HmcV18T2SRIBovpE6UFZh6.png', 'name': 'Raemongraein', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-31,600108,177,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,You are like an error in my perfect world,Semantic Error: The Movie,True,7.4,11
11,False,/fXmaCa7bE5mp9AMkVT8cKaI5GMK.jpg,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,705996,tt12477480,['KR'],ko,헤어질 결심,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",27.368,/TDaXKGBqJUSbCQ9XjkrJs8GYuU.jpg,"[{'id': 34725, 'logo_path': '/cRqXC6Dy6AvTGS2wiMt26yGJgZA.png', 'name': 'Moho Film', 'origin_country': 'KR'}, {'id': 128404, 'logo_path': '/dP3usmr6di1jMPH738rvbxdkmSQ.png', 'name': 'CJ ENM', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-06-29,16914773,138,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,"The closer you look, the harder you fall.",Decision to Leave,False,7.339,1239
12,False,/lonLErm7OcVR8gnc1t2kRwuuxDm.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",,606403,tt16529222,['KR'],ko,특송,A black-market cabbie drives criminals at breakneck speeds until she is left in charge of a fugitive's son.,12.089,/6v1N2SBhaF8lTBgsjfTAgVmS5q9.jpg,"[{'id': 20064, 'logo_path': '/2In7Heq6DuXDjOwPmJqHWkpohaL.png', 'name': 'Next Entertainment World', 'origin_country': 'KR'}, {'id': 120829, 'logo_path': None, 'name': 'M Pictures', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-01-12,0,109,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,Deliver anything you want.,Special Delivery,False,7.0,183
13,False,/p6YKmSgBU54L3MPeyXCS0mC0nM1.jpg,,6244195,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,634595,tt13182834,['KR'],ko,자백,"Min-ho's adulterous lover Se-hee is murdered in a hotel where only the two of them were present, and Min-ho is immediately singles out as the prime suspect. Insisting on his innocence, Min-ho hires the talented lawyer Shin-ae to defend him, and confesses to her that a car accident on the day before may be connected to Se-hee's murder...",5.504,/lmU2Pg2skqGjjBu3OzT9S7y2jCy.jpg,"[{'id': 3655, 'logo_path': '/bAn1qaqJRWwlTjzu3Ks6u3LrdMJ.png', 'name': 'Realies Pictures', 'origin_country': 'KR'}, {'id': 7819, 'logo_path': '/ghFZAt4edln0M7BzDExyYMzUGX1.png', 'name': 'Lotte Entertainment', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-10-26,0,105,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,Solving the manipulations of the case.,Confession,True,7.3,39
14,False,,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,946615,tt19383926,['KR'],ko,세븐틴 파워 오브 러브 : 더 무비,"Features powerful performances, in-depth interviews with the 13 members, and commentaries on their past, present, and future they will create with CARATs.",1.037,/xyo9vBg4WfR0RnjTIWCcZJTUq4G.jpg,"[{'id': 130856, 'logo_path': '/qgUx2JVQdeaOIGbfr3zfr29mHbH.png', 'name': 'Pledis Entertainment', 'origin_country': 'KR'}, {'id': 170163, 'logo_path': '/n6MAcCk8qpmze5bxCrAvQv0wXRJ.png', 'name': 'HYBE', 'origin_country': 'KR'}, {'id': 147778, 'logo_path': '/bcN2GlMY5Jk2fRpMNdjunHGyWDG.png', 'name': 'CJ 4DFLEX', 'origin_country': 'KR'}, {'id': 210725, 'logo_path': None, 'name': 'ScreenX Studio', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-04-28,0,115,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,SEVENTEEN POWER OF LOVE : THE MOVIE,False,10.0,1
15,False,/ru2LECaGqWtsL3kRWWJ3EoDlF5J.jpg,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,633374,tt21279122,['KR'],ko,리멤버,"Pil-ju, an Alzheimer's patient in his 80s, who lost all his family during the Japanese colonial era, and devotes his lifelong revenge before his memories disappear, and a young man in his 20s who helps him.",14.229,/8y9mhh3PqGPXbZVhX7Mc25OJpHP.jpg,"[{'id': 88974, 'logo_path': '/yDG44v8mA0LTw32ZMYcXI4Rsnye.png', 'name': 'Moonlight Film', 'origin_country': 'KR'}, {'id': 113584, 'logo_path': '/8BSD4OLpa5DnXdXYX4jwf5cyb6D.png', 'name': 'Acemaker Movieworks', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-10-26,0,128,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,This revenge must be completed.,Remember,False,7.5,92
16,False,/o37Ajo7Ii9L9qi5tGxxAWodyCWt.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,629028,tt14140954,['KR'],ko,미션 파서블,"Chinese secret agent Da-hee receives intel that a large number of illegal firearms are being smuggled into Korea and is sent to investigate the case. She meets Su-han, who is supposed to help her with the case, but due to his lackluster skills they fight over trivial things. But as their witnesses are suddenly murdered, the two of them quickly become the prime suspects.",17.833,/l2VrjVMJvyYizizmTkro22GLLnt.jpg,"[{'id': 20789, 'logo_path': '/qw7Hdf230EF9ZeH4nCRS0eAo7l3.png', 'name': 'Redrover', 'origin_country': 'KR'}, {'id': 119446, 'logo_path': '/OtKHwFyTlm5XUFMrWakECpve7T.png', 'name': 'kth', 'origin_country': 'KR'}, {'id': 126589, 'logo_path': None, 'name': 'GNOSIS COMPANY', 'origin_country': 'KR'}, {'id': 114519, 'logo_path': '/omfLDgUXKmXly7T7bWBpKstq3HP.png', 'name': 'Merry Christmas', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2021-02-17,0,105,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,A rookie secret agent's first mission turns into a chaos!,Mission: Possible,False,7.497,176
17,False,/gqqfN3XeWZcZZ2uQQEEFp3fHfSp.jpg,"{'id': 660359, 'name': 'Admiral Yi Trilogy', 'poster_path': '/craYwW0it8UK0hISXuHiobrl3Ot.jpg', 'backdrop_path': '/a4vnfLHJ2LX4oNoX6InbgPj8deg.jpg'}",0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,588108,tt21109538,['KR'],ko,한산: 용의 출현,"In 1592, admiral Yi Sun-sin and his fleet face off against the might of the invading Japanese navy and its formidable warships. As the Korean forces fall into crisis, the admiral resorts to using his secret weapon, the dragon head ships known as geobukseon, in order to change the tide of this epic battle at sea.",20.763,/vH76IrIrZLHmO0WOD4U7nxBHgkR.jpg,"[{'id': 53445, 'logo_path': '/dvrIsJffoUfNKb1CgeGFlDgOHEM.png', 'name': 'Big Stone Pictures', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-07-27,57490985,130,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,Before the epic battle in the admiral: roaring currents,Hansan: Rising Dragon,False,6.4,69
18,False,/qpMRsjLBI9tVL8T6kzgojbhfyyh.jpg,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,806128,tt23871504,['KR'],ko,올빼미,"A period drama film, depicting Joseon Dynasty in Korea. Kyoung-su is a skilled acupuncturist but a blind who can only see a little at dark. Right after Kyoung-su joins King Injo’s medical team, the prince comes back after 7 years of living in Chung dynasty.  Due to a long journey coming back, the prince becomes ill, and the king’s doctor brings Kyoung-su to heal him. But while Kyoung-su is doing his work, he finds out the king’s hidden secret which might change everything that the king owns. Could Kyoung-su be able to save everyone and himself?",5.902,/cTePuecC5fJvo66yVaG1wKh9vwR.jpg,"[{'id': 63014, 'logo_path': '/fw6qEw1GXCKf6n51zwN7nJTG42S.png', 'name': 'CJeS Studios', 'origin_country': 'KR'}, {'id': 223660, 'logo_path': None, 'name': 'Damdam Film', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-11-23,0,118,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,The crown prince is dead. The only witness is a blind man.,The Night Owl,False,7.4,52
19,False,/fP5wcmD3m1AiZuFXMDWAZQ47fWq.jpg,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",https://www.nctdreamthemovie.com,1038198,tt23849218,['KR'],ko,엔시티 드림 더 무비: 인 어 드림,"The brand-new film features high-energy performances with the seven members captured during their second solo concert, NCT DREAM TOUR ""THE DREAM SHOW 2 : In A DREAM"", at the iconic Olympic Stadium, the largest stadium in South Korea and the dream venue for music artists. This unmissable event also includes behind-the-scenes footage, exclusive backstage interviews, and a look at the future the members envision away from the stage!",0.4,/qydle2TgTz5Qq0bTeKItG5kcEwS.jpg,"[{'id': 99961, 'logo_path': '/gtBic6gQQHp9LyfBfhF17XqZXJE.png', 'name': 'SM Entertainment', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-11-30,0,100,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,NCT DREAM THE MOVIE : In A DREAM,False,10.0,2
20,False,/15EgH2UPtr98MFkNajU6BjBTEcf.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,717090,tt23157348,['KR'],ko,압꾸정,"Dae-guk, a nosy man from Apgujeong, and Ji-woo, a cold but skillful plastic surgeon, open a plastic surgery business in Gangnam. Dae-guk is an unemployed man who likes to pry into other people’s businesses.",3.296,/b9fHfSZcd8cxJwOuhpU5Kx1QlFH.jpg,"[{'id': 84678, 'logo_path': '/8pjrX8L669kQUdCqCCpv3uWOSBC.png', 'name': 'BA Entertainment', 'origin_country': 'KR'}, {'id': 96989, 'logo_path': None, 'name': 'Hong Film', 'origin_country': 'KR'}, {'id': 129217, 'logo_path': '/s5rN5NUfE9yx21Yh0CuLULAGH5Y.png', 'name': 'Big Punch Pictures', 'origin_country': 'KR'}, {'id': 3491, 'logo_path': '/hXRKXi3M9qfP4Npi1kjAaH4eGnM.png', 'name': 'Showbox', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-11-30,0,112,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Men of Plastic,False,5.4,21
21,False,/xQeTqKcrHCR61wY7nv0zQYx1hiQ.jpg,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,877260,tt21263500,['KR'],ko,뒤틀린 집,"A family moves to a quiet and isolated place, but suffers from nightmares on their very first day in the new home.",2.285,/wKWxgblLDyI51iCTufKs6mo2Pkc.jpg,"[{'id': 178547, 'logo_path': None, 'name': 'TAKEONE STUDIO', 'origin_country': ''}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-07-13,462593,91,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,We Can Be Happier Here,Contorted,False,4.5,9
