tw_id,production_country,tw_title,tw_release_date
21664,德國,永別了，柏林,2022-07-29
21214,德國,自然就樹美,2022-06-02
20534,德國,我是你的完美男友,2022-02-25
22432,德國,逃出風暴,2022-10-28
20223,德國,鄰危不亂,2022-01-07
22515,德國,趴兔青春期,2022-10-21
20134,德國,指考風暴,2022-04-01
21746,德國,泳漾水男孩,2022-08-19
21236,德國,熟女解放中,2022-06-10
20103,德國,騎趣環世界,2021-12-30
18291,德國,型男斷捨離,2022-02-11
19920,德國,人性遊戲,2022-01-07
23290,德國,蘿拉快跑,2022-12-17
22270,墨西哥,危雞總動員,2022-09-23
19372,義大利,達賴喇嘛:大腦故事 ,2021-11-12
21998,義大利,請為我在羅馬多留一天,2022-09-08
20313,義大利,非甜蜜生活,2021-12-28
20872,義大利,真愛超能力,2022-04-29
21789,義大利,洞,2022-07-22
21263,義大利,愛在書店相遇時,2022-06-02
21352,義大利,隔離巢,2022-06-17
20239,義大利,戰地夜曲,2022-07-01
22877,瑞典,星夢性快感,2022-11-11
21045,瑞士,阿哈：帶我走,2022-05-13
22739,瑞士,瑞士鐘錶師,2022-11-04
22523,瑞士,女孩與蜘蛛,2022-12-02
21919,新加坡,妖街皇后,2022-09-23
20556,奧地利,愛你讓我自由,2022-03-25
21659,塞爾維亞,黑貓白貓：4K數位修復版,2022-08-12
22648,越南,替屍鬼2：詛咒再臨,2022-10-07
20460,越南,鬼電梯,2022-02-18
20975,越南,越驚,2022-04-22
20929,越南,祖怨,2022-04-15
22309,越南,迷霧中的孩子,2022-09-23
19408,斯洛伐克,逃出奧斯威辛,2021-10-01
22895,喬治亞,喬治亞天空下 ,2022-11-18
20336,捷克,慕夏狂潮：從崛起到永恆,2022-01-14
19627,捷克,勇鼠闖天堂,2022-02-04
21740,捷克,浪浪回家路,2022-07-22
21626,馬來西亞,野蠻人入侵,2022-07-15
18629,秘魯,亞馬遜守護者：安珀傳奇(英語版),2022-01-13
21223,烏克蘭,格列佛遊記：重返小人國,2022-08-26
22198,烏克蘭,沒有煙硝的日子,2022-12-29
20265,泰國,2gether電影版：只因我們天生一對,2021-12-24
21115,泰國,猛鬼大學：第2學期,2022-05-13
21436,泰國,鬼單眼,2022-07-22
20654,泰國,凝弒,2022-03-11
23289,泰國,魔蟲禁區,2022-12-16
21210,泰國,淒厲人僧：卡到陰,2022-05-20
23085,泰國,愛情需要編劇,2022-11-18
21066,泰國,愛在暹邏：數位經典版,2022-05-18
20314,泰國,記憶,2021-12-25
20413,泰國,波米叔叔的前世今生,2010-11-26
22110,泰國,超級蜥蜴王,2022-09-02
20365,挪威,世界上最爛的人,2022-01-01
21974,挪威,愛重奏,2022-09-02
22265,挪威,詭孩,2022-10-28
19764,挪威,忍者寶寶,2022-01-14
20672,香港/日本,秋月,2022-03-06
19859,香港,梅艷芳,2021-11-12
19159,香港,怒火,2021-10-22
20822,香港,神探大戰,2022-08-19
16476,香港,麥路人,2020-09-17
21732,香港,花樣年華 4K數位修復版,2022-09-16
7331,香港,春光乍洩,1997-06-07
20716,香港,重慶森林 4K數位修復版,2022-04-22
18149,香港,墮落天使  4K數位修復版,2021-02-19
9993,香港,阿飛正傳,1990-12-22
20763,香港,胭脂扣,1987-12-05
22420,香港,飯戲攻心,2022-09-23
22876,香港,智齒,2022-12-23
20565,香港,少年,2022-04-08
20343,香港,G風暴,2020-01-30
20702,香港,阮玲玉,1991-11-29
20741,香港,英雄本色,1986-08-08
21747,香港,闔家辣,2022-07-22
10916,香港,霸王別姬(數位修復版),1993-12-10
22182,香港,媽的星寵兒,2022-09-02
21786,香港,七人樂隊,2022-07-22
22631,香港,憂鬱之島,2022-11-20
21047,香港,邊緣行者,2022-05-06
20697,香港,秋天的童話,1987-07-03
21801,香港,繼園臺七號,2022-09-21
23391,香港,正義迴廊,2022-12-30
21812,香港,美少年之戀,2022-09-23
21517,香港,喜歡妳是妳,2022-07-15
22231,香港,一路瞳行,2022-09-08
23317,香港,無間道,2022-12-30
22434,香港,失衡凶間,2022-10-07
22085,香港,玫瑰的故事,2022-09-23
21978,香港,流金歲月,2022-09-23
22435,香港,心裏美,2022-09-30
20671,香港,愛在他鄉的季節,2022-03-05
21123,香港,海上花,2022-09-23
20673,香港,遇上1967的女神,2022-03-12
23367,香港,無間道II,2022-12-30
23349,香港,無間道III：終極無間,2022-12-30
23339,香港,過時·過節,2022-12-22
20410,香港,出租女友,2022-01-14
22758,英國/義大利,流浪者之歌,2022-10-21
22755,英國/西班牙,卡拉之歌,2022-10-21
20515,英國,時代革命,2022-02-25
15965,英國,末代皇帝（數位修復版）,1988-04-23
21389,英國,們,2022-05-31
7689,英國,發條橘子,2017-12-29
22525,英國,瘋狂富作用,2022-10-07
21017,英國,鯊顫,2022-05-13
20802,英國,餐廳失控夜,2022-04-01
22117,英國,士兵與軍官,2022-09-02
21312,英國,伊恩•麥克連 80歲個人秀巡迴演出（英國國家劇院現場）,2022-06-11
20693,英國,極限逃殺,2022-03-18
22611,英國,如果驢知道,2022-12-02
19272,英國,算牌手,2021-09-17
21758,英國,法蘭克札帕：從前衛到當代,2022-07-29
21906,英國,我們的英搖時光,2022-08-12
20076,英國,愛上費加洛,2021-12-17
21268,英國,羅密歐與茱麗葉（英國國家劇院現場）,2022-06-10
18530,英國,裸體午餐,1992-03-14
23342,英國,初步舉證,2022-12-20
14480,英國,超速性追緝,1996-10-25
21515,英國,利奥波德城（英國國家劇院現場）,2022-06-14
22260,英國,性愛成癮的男人,2022-09-23
22407,英國,丹尼爾約翰斯頓：魔鬼詩篇,2022-09-23
14021,英國,遮蔽的天空,2022-01-21
20827,英國,瑪莉娜的512小時,2022-04-15
20418,英國,波西米亞人（英國皇家歌劇院）,2022-02-10
20519,英國,馬克白（英國皇家歌劇院）,2022-02-10
11227,英國,山那邊的青稞田,2019-01-18
23320,英國,夢迴西藏：軍官與達賴喇嘛,2022-12-30
21869,英國,偷香 數位修復版,2022-08-05
20337,英國,曼儂‧雷斯科（英國皇家歌劇院）,2022-02-10
22880,英國,大製片家,2022-11-25
20291,英國,毫無意義,2022-01-07
20293,英國,兩情世界,2022-01-07
20292,英國,打擊驚魂,2022-01-07
20290,英國,小心女人,2022-01-07
21117,美國,捍衛戰士: 獨行俠,2022-05-23
20189,美國,蜘蛛人：無家日,2021-12-15
23322,美國,阿凡達：水之道,2022-12-16
21161,美國,侏羅紀世界: 統霸天下,2022-06-08
19885,美國,永恆族,2021-11-03
23049,美國,黑豹 2：瓦干達萬歲,2022-11-09
21054,美國,奇異博士2：失控多重宇宙,2022-05-04
21741,美國,雷神索爾：愛與雷霆,2022-07-06
20277,美國,金牌特務：金士曼起源,2021-12-30
19639,美國,猛毒2：血蜘蛛,2021-10-13
19182,美國,沙丘,2021-09-16
19468,美國,007 生死交戰,2021-09-29
19150,美國,尚氣與十環傳奇,2021-09-02
22676,美國,黑亞當,2022-10-19
20810,美國,小小兵2:格魯的崛起,2022-07-01
20587,美國,蝙蝠俠,2022-03-03
20863,美國,怪獸與鄧不利多的秘密,2022-04-14
21777,美國,子彈列車,2022-08-03
20539,美國,秘境探險,2022-02-17
18984,美國,脫稿玩家,2021-08-12
20828,美國,媽的多重宇宙,2022-04-22
20215,美國,駭客任務：復活,2021-12-22
20484,美國,月球隕落,2022-02-03
19984,美國,惡靈古堡首部曲：拉昆市,2021-11-26
20786,美國,魔比斯,2022-04-01
18891,美國,黑寡婦,2021-07-14
21422,美國,巴斯光年(英文版),2022-06-17
20470,美國,尼羅河謀殺案,2022-02-11
20050,美國,魔法滿屋,2021-11-26
22373,美國,微笑,2022-09-30
20210,美國,歡樂好聲音 2,2022-01-28
20748,美國,失落謎城,2022-04-08
21742,美國,雷神索爾：愛與雷霆,2022-07-06
20580,美國,劫命救護,2022-03-25
21821,美國,孤兒怨2：最黑暗的過去,2022-08-26
20212,美國,GUCCI：豪門謀殺案,2022-01-07
20635,美國,壞蛋聯盟,2022-03-18
18983,美國,汪汪隊立大功電影版,2021-09-17
22355,美國,幸福入場券,2022-10-07
20820,美國,音速小子 2,2022-04-01
22663,美國,五星饗魘,2022-12-02
18759,美國,厲陰宅3：是惡魔逼我的,2021-07-22
22416,美國,阿凡達 (A版),2022-09-23
21896,美國,不!,2022-08-12
21837,美國,DC超級寵物軍團(英文版),2022-08-09
18014,美國,捍衛救援,2021-01-20
18846,美國,路卡的夏天,2021-08-06
19955,美國,魔鬼剋星：未來世,2021-12-31
20403,美國,夜路,2022-01-28
21582,美國,貓王艾維斯,2022-06-23
19688,美國,法蘭西特派週報,2021-12-10
18925,美國,寶貝老闆：家大業大,2021-10-08
22337,美國,墜,2022-09-16
18816,美國,殺手保鑣2,2021-10-08
23155,美國,決戰38度線,2022-12-02
20582,美國,黑光行動,2022-02-25
18866,美國,密弒遊戲2：勝者危亡,2021-09-17
19161,美國,疾厄,2021-09-02
22879,美國,鬼禱,2022-10-28
20241,美國,闇黑電話,2022-07-01
20925,美國,超吉任務,2022-04-22
7858,美國,以你的名字呼喚我,2018-01-12
20104,美國,哈利波特：神秘的魔法石,2001-11-16
18958,美國,暫時停止呼吸2,2021-08-20
18824,美國,疾凍救援,2021-09-24
23153,美國,暴戾夜,2022-12-02
20294,美國,355：諜影特攻,2022-01-19
19817,美國,天兵阿榮,2021-10-29
23138,美國,奇異冒險 (英文版),2022-11-25
20240,美國,驚聲尖叫,2022-01-14
19964,美國,迷離夜蘇活,2021-11-12
19786,美國,王者理查,2021-11-18
21867,美國,沼澤謀殺案,2022-10-07
22530,美國,阿姆斯特丹,2022-10-07
19308,美國,月光光新慌慌：萬聖殺,2021-10-22
18430,美國,夢想之地,2021-04-23
20137,美國,阿達一族 2,2021-12-30
22195,美國,拉辛正傳,2022-09-08
19919,美國,大紅狗克里弗,2021-12-10
22245,美國,別擔心親愛的,2022-09-16
20982,美國,記憶殺神,2022-04-29
22652,美國,月光光新慌慌：萬聖結,2022-10-14
19783,美國,史賓賽,2021-11-05
23144,美國,鞋貓劍客 2,2022-09-23
22924,美國,骨肉的總和,2022-11-24
22115,美國,三千年的渴望,2022-09-02
22476,美國,哥兒們,2022-10-19
19657,美國,鹿魔,2021-11-12
19539,美國,最後的決鬥,2021-10-15
22242,美國,看你往哪跑,2022-09-16
20362,美國,西城故事,2022-01-21
21942,美國,獸,2022-08-19
22328,美國,捍衛戰士,2022-09-18
21719,美國,喜悅：達賴喇嘛遇見屠圖主教,2022-07-22
20459,美國,娶我吧!,2022-02-11
22116,美國,世紀婚魘,2022-09-02
21930,美國,天黑請斃命,2022-08-19
9023,美國,2001太空漫遊,2018-06-04
20394,美國,王牌冤家,2022-02-11
22397,美國,毛骨悚然：惡魔重生,2022-09-23
20356,美國,死間行動,2022-04-29
22308,美國,刀鋒劍客(英語版),2022-09-30
9986,美國,鬼店,2018-09-28
20770,美國,救命緝約,2022-03-25
23321,美國,與你共舞,2022-12-30
22222,美國,蜘蛛人：無家日 戲院加長版,2022-09-02
23084,美國,她有話要說,2022-11-18
19659,美國,達賴的一生,2022-07-08
22651,美國,天劫高手,2022-10-14
20659,美國,絕命通話,2022-03-11
17499,美國,說不出的告別,2020-11-27
20660,美國,貝爾法斯特,2022-03-11
20235,美國,黑特冤家,2022-02-11
22679,美國,驚爆倒數60分鐘,2022-10-14
20363,美國,看不見的殺機,2022-01-07
22963,美國,絕命線阱,2022-11-04
21033,美國,驅神,2022-07-08
20528,美國,逍遙上路,2022-02-18
6252,美國,八月三十一日，我在奧斯陸,2013-05-31
23128,美國,俠探特攻：全面追緝,2022-11-25
20554,美國,終極堡壘,2022-03-18
20472,美國,終極攻佔,2022-02-04
18735,美國,金甲部隊,2022-08-26
19690,美國,地球重生,2022-02-11
18693,美國,獵殺戰場,2022-03-18
19241,美國,生命理賠師,2022-03-04
23286,美國,俠探特攻：贖罪行動,2022-12-09
20848,美國,玩命獵殺,2022-04-08
20143,美國,完美的敵人,2022-02-18
21306,美國,大開眼戒,2022-09-08
21388,美國,午後彌撒 ,2022-06-17
20211,美國,危城行動,2022-01-07
20713,美國,劫獄救援,2022-03-18
20861,美國,終極交戰,2022-09-08
18707,美國,齊瓦哥醫生,2022-10-05
20681,美國,全面掃蕩,2022-03-18
23311,美國,朝聖之路：聖雅各,2022-12-23
20561,美國,詭謎藏,2022-04-01
21802,美國,殺戮基地,2022-07-29
19475,美國,爽賺姐妹,2021-10-22
20458,美國,情聖西哈諾,2022-02-25
19601,美國,四個好日子,2021-10-08
20736,美國,心碎效應,2022-09-23
19921,美國,蘿莉塔,2022-06-17
21116,美國,探戈行不行,2022-08-26
20930,美國,終極夜路,2022-06-02
20809,美國,終極包圍戰,2022-04-08
20560,美國,通靈女校,2022-03-04
21180,美國,進擊的地才,2022-06-03
20735,美國,投機者樂團：愛的鼓勵,2022-04-08
20217,美國,終極狩獵團,2022-01-14
20992,美國,公共圖書館員,2022-05-20
20761,美國,盜夢睡務員,2022-03-25
21172,美國,最後的生存者,2022-05-20
23014,美國,鱷魚歌王,2022-11-04
22714,美國,終極堡壘2,2022-10-21
20486,美國,BJ單身日記,2022-02-11
19318,美國,美國舞孃,2022-07-01
19383,美國,異類崛起,2021-09-24
20384,美國,魔境夢遊,2021-06-18
20192,美國,殲獄行動,2021-12-24
22959,美國,貓爸爸們,2022-11-25
21035,美國,超級救援狗,2023-12-15
20605,美國,藝術恐怖份子 班克斯,2022-03-25
21038,美國,深海獵奇,2022-05-14
20714,美國,圓滾滾藝術家-費爾南多·波特羅,2022-03-25
21040,美國,馬達加斯加：狐猴之島,2022-05-14
21039,美國,最後的冰川,2022-05-14
17975,美國,不可侵犯：溫斯坦性醜聞,2022-01-07
14586,美國,為所應為,2022-10-24
21041,美國,哈勃望遠鏡,2022-05-14
21036,美國,小行星獵人,2023-12-15
21037,美國,回歸野性,2022-05-14
23288,美國,海底世界(國語版),2022-12-05
23287,美國,大熊貓(國語版),2022-12-01
23217,玻利維亞,高原上的家屋,2022-12-16
1691,南斯拉夫,地下社會,2015-05-15
18745,俄羅斯,鬼保母,2022-01-07
20692,俄羅斯,絕命第19排,2022-03-11
19136,俄羅斯,致命最前線,2022-01-14
21173,俄羅斯,逃出封鎖線,2022-05-20
18792,俄羅斯,心悸效應,2021-09-10
22404,俄羅斯,大尉叛逃記,2022-10-21
22524,俄羅斯,獵空計畫,2022-11-04
20568,俄羅斯,核爆車諾比,2022-04-22
5643,俄羅斯,鏡子,2017-06-19
5666,俄羅斯,潛行者,2017-06-26
21155,阿根廷,月影歸途,2022-05-20
21221,芬蘭,鬼雙胞,2022-05-20
20414,芬蘭,反恐行動：獨立日,2022-02-18
21380,芬蘭,當女孩戀愛時,2022-07-22
21163,芬蘭,孵魔,2022-05-20
21706,芬蘭,朵貝的愛情繪本,2022-07-15
21536,芬蘭,不看鐵達尼號的男人,2022-06-24
21528,波蘭,拜金女王的性愛派對,2022-06-24
20457,波蘭,機遇之歌：數位修復版,2022-08-28
21888,波蘭,大獲拳勝,2022-08-26
21365,法國/義大利/希臘/德國,永遠的一天,2022-06-02
21363,法國/希臘/瑞士/義大利,鸛鳥踟躕,2022-06-01
15103,法國,燃燒女子的畫像,2019-12-20
21920,法國,蝙狐俠：英雄覺醒,2022-08-26
19696,法國,天才貓奴畫家,2021-12-03
20184,法國,黑盒線索,2022-02-18
19894,法國,鈦,2021-12-24
21995,法國,正發生,2022-09-30
2813,法國,藍色情挑 經典數位修復,2016-07-22
22349,法國,死噬,2022-09-23
2815,法國,紅色情深 經典數位修復,2016-07-22
2814,法國,白色情迷 經典數位修復,2016-07-22
20489,法國,今敏：造夢魔術師,2022-03-18
22243,法國,小獅子王,2022-09-30
20943,法國,親愛的童伴,2022-05-13
20873,法國,友你才精彩,2022-04-15
22183,法國,拆彈倒數30分鐘,2022-09-23
21809,法國,席琳狄翁外傳：愛的力量,2022-07-29
20530,法國,艾菲爾情緣,2022-02-11
21717,法國,失業風暴,2022-07-15
21019,法國,好好說再見,2022-05-27
21514,法國,一屍到底：法屍浪漫,2022-06-17
20454,法國,最後一件晚禮服的秘密,2022-02-04
21863,法國,就在今夜,2022-07-29
3350,法國,玩命光頭,2016-11-04
20300,法國,柏格曼的島,2021-12-25
20485,法國,巴黎夢想家,2022-03-04
20364,法國,天堂計劃,2022-01-07
21046,法國,失速母親,2022-06-02
19858,法國,密室譯戰,2022-02-25
19952,法國,尋子風暴,2022-04-15
20399,法國,我的神秘狼朋友,2022-01-21
21866,法國,春日小戀曲,2022-08-12
21810,法國,降臨節日曆,2022-08-12
2224,法國,雙面薇若妮卡 經典數位修復,2016-07-16
21796,法國,烈火少女（英文版）,2022-07-23
21311,法國,來自巴黎的情書,2022-05-27
22356,法國,消失的達文西,2022-09-23
10963,法國,全面開戰,2018-12-02
4575,法國,四百擊,2016-12-23
21824,法國,一萬個叢林夜,2022-08-12
21862,法國,瑪歌皇后 數位修復版,2022-10-14
22741,法國,書情話慾,2022-11-18
23265,法國,有你就是家,2022-12-16
6630,法國,斷了氣,2017-10-23
21440,法國,越界分身,2022-06-24
20395,法國,情慾告白,2022-01-21
19093,法國,破碎的琴鍵,2021-11-26
20136,法國,夏日之戀,2021-12-12
10331,法國,影像之書,2018-12-14
19731,法國,仰望星空的少年,2021-12-03
20406,法國,豪門媳婦日記,2022-01-14
20963,法國,藍色是最溫暖的顏色,2022-05-27
20169,法國,最後地下鐵,2016-12-23
20124,法國,喀布爾之燕,2022-08-05
20862,法國,屠女養成記,2022-04-15
20177,法國,幸福知音,2022-02-11
23375,法國,美好的早晨,2022-12-30
20712,法國,安妮詩快跑,2022-05-20
22650,法國,真實世界,2022-10-14
4469,法國,阿爾發城,2016-12-05
22740,法國,抓狂養老院,2022-11-11
19224,法國,狂人皮耶洛,1965-11-05
22173,法國,她和她的小主廚們,2022-09-16
22756,法國,賴活,2022-10-26
23275,法國,芳名卡門,2022-12-16
23274,法國,我所知道她的二三事,2022-12-16
23386,法國,男性，女性,2022-12-16
20451,法國,執愛不悔,2022-02-18
21993,法國,夜色中的她,2022-08-26
20803,法國,破膽三次,2022-04-15
22901,法國,索蘭琪的少女心事,2022-11-04
17254,法國,追憶似水年華 數位修復版,2022-05-28
21355,法國,往事追憶錄,2022-05-28
21356,法國,蓋爾芒特家情事,2022-06-01
938,法國,衡量一個人,2015-11-20
21660,法國,一路上有妳,2022-07-01
20928,法國,築愛巴黎,2022-04-15
21360,希臘/德國/義大利,塞瑟島之旅,2022-05-29
21366,希臘/義大利/德國/俄羅斯/法國,希臘二部曲：時光灰燼,2022-05-28
21359,希臘/法國/德國,獵人,2022-05-28
21364,希臘/法國/義大利/德國/英國,尤里西斯生命之旅,2022-06-03
21361,希臘/法國/義大利,養蜂人,2022-05-30
21362,希臘/法國/義大利,霧中風景,2022-06-03
19922,希臘,夢想裁縫師,2021-12-17
21357,希臘,三六年的歲月,2022-05-29
21358,希臘,流浪藝人,2022-05-29
20579,西班牙,平行母親,2022-03-04
20596,西班牙,丟包大作戰,2022-03-18
20289,西班牙,瘋狂競賽片,2022-02-25
19857,西班牙,雙子謀殺案：白城之寂,2022-04-01
23122,西班牙,放牛班足球隊,2022-11-25
23198,西班牙,湯恩與劍客汪汪隊,2022-12-23
22893,西班牙,遺屍物,2022-11-04
19205,西班牙,蝸牛之家,2021-09-03
18538,西班牙,瀕臨崩潰邊緣的女人 經典數位修復,2022-02-04
18469,西班牙,慾望法則 經典數位修復,2022-02-04
18737,西班牙,我造了什麼孽 經典數位修復,2022-02-04
20527,西班牙,櫻櫻大日本,2022-02-25
18761,西班牙, 修女夜難熬 經典數位修復,2022-02-04
20941,西班牙,米其林母子檔,2022-09-02
23188,印度,梵天神器：滅世開端,2022-12-02
21709,印度,偉大的印度廚房,2022-07-08
20903,印度,天堂電影院,2022-04-15
23338,印尼,鬼搖靈2：陰語陣陣,2022-12-23
21307,印尼,娜娜：逝水年華,2022-07-08
20652,匈牙利,懾影屍,2022-06-02
20962,匈牙利,忌妒的藍圖,2022-06-24
20952,匈牙利,親愛的母親,2022-07-01
20191,冰島,天菜特警,2021-12-10
20728,伊朗,何處是我朋友的家？,2022-04-15
21021,伊朗,櫻桃的滋味 數位修復版,2022-05-20
20804,伊朗,橄欖樹下的情人,2022-04-22
20758,伊朗,生生長流,2022-04-15
20632,伊朗,我不是英雄,2022-05-13
21032,伊朗,風帶著我來 數位修復版,2022-05-20
22196,伊朗,贖罪風暴,2022-10-07
4035,台灣##中華民國##中華民國/新加坡##中華民國,禁止下錨+海中網+妹妹+庭中有奇樹,2022-04-23
20740,加拿大,沉默呼聲,2022-08-12
20201,加拿大,麥特與麥斯,2021-12-30
21838,加拿大,未來犯罪,2022-08-05
19092,加拿大,親情解鎖,2021-09-17
20386,加拿大,他奶奶的變裝皇后,2022-01-21
20683,加拿大,藥命回憶,2022-04-29
22307,比利時,怪胎英雄：奇克探險記,2022-09-23
17368,日本,鬼滅之刃劇場版 無限列車篇,2020-10-30
20591,日本,劇場版 咒術迴戰 0,2022-02-24
21991,日本,航海王劇場版 : 紅髮歌姬,2022-08-13
21383,日本,名偵探柯南 萬聖節的新娘,2022-06-30
19722,日本,刀劍神域劇場版 –Progressive- 無星夜的詠嘆調 ,2021-11-12
22751,日本,刀劍神域劇場版 –Progressive- 陰沉薄暮的詼諧曲,2022-11-01
21864,日本,蠟筆小新：幽靈忍者珍風傳,2022-08-04
17110,日本,紫羅蘭永恆花園電影版,2020-09-30
13730,日本,普羅米亞,2019-08-16
19157,日本,蠟筆小新：謎案！天下春日部學院的怪奇事件,2021-09-24
23197,日本,關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,2022-12-06
21385,日本,餘命10年,2022-06-10
20610,日本,神隱少女(日文版),2022-09-08
19389,日本,我的英雄學院劇場版：世界英雄任務,2021-10-29
21718,日本,角落小夥伴電影版：藍色月夜的魔法之子(日語版),2022-07-22
9977,日本,龍貓,2021-01-29
23148,日本,通往夏天的隧道，再見的出口,2022-12-02
22194,日本,七龍珠超：超級英雄(日文版),2022-09-03
20879,日本,電影版 如果30歲還是處男，似乎就能成為魔法師,2022-04-08
21625,日本,電影哆啦A夢：大雄的宇宙小戰爭 2021(日語版),2022-07-15
22232,日本,新‧超人力霸王,2022-09-13
16420,日本,藍色恐懼：4K數位修復版,2020-07-17
20279,日本,在車上,2021-12-24
22878,日本,天空之城(日文版),2022-11-25
22020,日本,電影版 搖曳露營△ ,2022-09-16
19787,日本,嵐 5x20演唱會電影～回憶全記錄～,2021-11-03
23365,日本,輝夜姬想讓人告白－永不結束的初吻,2022-12-23
21928,日本,擅長捉弄人的高木同學劇場版,2022-09-02
21973,日本,劇場版 五等分的新娘,2022-08-26
22962,日本,即使，這份戀情今晚會從世上消失,2022-11-11
22380,日本,破案天才伽利略：沉默的遊行,2022-09-23
20405,日本,《屁屁偵探: 舒芙蕾島的秘密》,2022-01-21
20057,日本,Fate/Grand Order -終局特異點 冠位時間神殿所羅門-,2021-11-26
20264,日本,名偵探柯南：大怪獸哥梅拉VS假面超人,2022-01-07
17129,日本,《少女與戰車 最終章》第1+2話,2020-10-07
16758,日本,東京教父:4K數位修復版,2020-08-19
20105,日本,寶可夢：皮卡丘與可可的冒險 (日文版),2021-12-10
19895,日本,我讓最想被擁抱的男人給威脅了 劇場版～西班牙篇～,2021-11-23
19687,日本,偶然與想像,2021-11-26
21310,日本,劇場版FREE! 男子游泳部–the Final Stroke–後篇,2022-01-21
22788,日本,迴咒師ー塩子的誕生,2022-11-04
19000,日本,《少女與戰車 最終章》 第3話,2021-11-19
13292,日本,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019-06-14
19766,日本,假面飯店2：假面之夜 ,2021-10-28
23463,日本,灌籃高手 THE FIRST SLAM DUNK,2022-12-31
20415,日本,劇場版FREE! 男子游泳部–the Final Stroke–前篇,2022-01-21
23115,日本,劇場版 歌之☆王子殿下♪ 真愛ST☆RISH TOURS,2022-11-18
22230,日本,犬王,2022-10-21
20535,日本,電影版 昨日的美食,2022-02-18
21065,日本,電影版 99.9 不可能的翻案,2022-05-27
20355,日本,讓我聽見愛的歌聲,2022-02-11
20762,日本,電影版 DEEMO 櫻色旋律 —你所彈奏的琴音 至今仍在迴響—,2022-03-25
20186,日本,魔仿犯,2021-12-10
22512,日本,極速甩尾,2022-10-14
20669,日本,魔法水果籃 -前奏曲-,2022-03-18
21237,日本,牛首村,2022-05-20
21941,日本,北齋：浮世繪傳奇,2022-08-26
21790,日本,特『刀劍亂舞-花丸-』～雪之卷～,2022-07-29
22003,日本,電影版 奇巧計程車：撲朔謎林,2022-08-19
18774,日本,花束般的戀愛,2021-07-16
23249,日本,天使降臨到我身邊！珍貴的朋友,2022-12-16
20780,日本,假面騎士劇場版　對決！超越新世代,2022-04-08
