Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,DomesticShare
115,The 355,"$18,902,798","$14,570,455","$4,332,343",77.08%
116,Hotel Transylvania: Transformania,"$18,480,000",,"$18,480,000",
117,One Week Friends (週的朋友),"$18,014,349",,"$18,014,349",
118,Yǐn rù chényān (隐入尘烟),"$17,128,863",,"$17,128,863",
119,bisangseongeon (비상선언),"$16,411,543","$412,196","$15,999,347",2.51%
120,Padre no hay más que uno 3,"$16,390,464",,"$16,390,464",
121,Hǎo Xiǎng Qù Nǐ De Shì Jiè Ài Nǐ (好想去你的世界爱你)…,"$16,380,000",,"$16,380,000",
122,Blacklight,"$16,017,096","$9,591,094","$6,426,002",59.88%
123,Terrifier 2,"$15,687,338","$10,962,502","$4,724,836",69.88%
124,Operation Mincemeat,"$15,607,881",,"$15,607,881",
125,Gāng Tiě Yì Zhì (钢铁意志),"$15,310,000",,"$15,310,000",
126,The Amazing Maurice,"$15,309,142","$4,303,645","$11,005,497",28.11%
127,Table for Six (还是觉得你最好),"$15,267,878",,"$15,267,878",
128,Bones and All,"$15,237,477","$7,837,477","$7,400,000",51.44%
129,Ladybug & Cat Noir: The Movie,"$15,173,192",,"$15,173,192",
130,X,"$15,113,105","$11,769,469","$3,343,636",77.88%
131,Doraemon the Movie: Nobita’s Little Star Wars 2…,"$15,012,353",,"$15,012,353",
132,Glass Onion: A Knives Out Mystery,"$15,000,000","$15,000,000",,100.00%
133,Serdtse parmy (Сердце пармы),"$14,845,677",,"$14,845,677",
134,Bros,"$14,831,797","$11,628,165","$3,203,632",78.40%
135,The Chosen Season 3: Episodes 1 & 2,"$14,679,641","$14,612,089","$67,552",99.54%
136,6/45,"$14,453,138",,"$14,453,138",
137,The Duke,"$14,329,323","$1,526,970","$12,802,353",10.66%
138,Bodies Bodies Bodies,"$14,029,755","$11,446,602","$2,583,153",81.59%
139,She Said,"$13,956,384","$5,825,995","$8,130,389",41.74%
140,Moonage Daydream,"$13,910,491","$4,266,717","$9,643,774",30.67%
141,"Good Luck to You, Leo Grande","$13,141,633",,"$13,141,633",
142,Easter Sunday,"$13,021,859","$13,013,690","$8,169",99.94%
143,After Ever Happy,"$12,463,628","$989,088","$11,474,540",7.94%
144,Memory,"$12,462,210","$7,329,043","$5,133,167",58.81%
145,Living,"$12,419,040","$3,037,858","$9,381,182",24.46%
146,wigyein 1bu (외계+인 1부),"$12,340,846","$168,309","$12,172,537",1.36%
147,beurokeo (브로커),"$12,322,764","$1,046,898","$11,275,866",8.50%
148,Turning Red,"$12,271,142","$1,399,001","$10,872,141",11.40%
149,Xīn Dà Tóu Ér Zi Hé Xiǎo Tóu Bà Ba Wǒ De Wài Xī…,"$12,260,000",,"$12,260,000",
150,Octonauts and the Caves of Sac Actun,"$11,695,093",,"$11,695,093",
151,Wunderschön,"$11,600,000",,"$11,600,000",
152,Empire of Light,"$11,577,891","$1,438,551","$10,139,340",12.42%
153,Song of Spring (妈妈!),"$11,510,079",,"$11,510,079",
154,Till,"$11,448,957","$9,000,202","$2,448,755",78.61%
155,Even if This Love Disappears from the World Ton…,"$11,137,513",,"$11,137,513",
156,Mā Mā (妈妈！),"$10,680,473",,"$10,680,473",
157,Le otto montagne,"$10,306,733","$302,456","$10,004,277",2.93%
158,Men,"$10,286,166","$7,587,853","$2,698,313",73.77%
159,Pearl,"$10,139,416","$9,423,445","$715,971",92.94%
